"Story","Title","Result","Date","Stability","Duration (s)"
"Academy Choucair","Search for a automation course","ERROR","2022-08-05T12:48:40.342-05:00[America/Bogota]","0.0","2.97"
"Academy Choucair","Scenario","SUCCESS","2022-08-05T13:51:50.69-05:00[America/Bogota]","0.0","27.77"
